CustomerID,FirstName,LastName,Email,PhoneNumber,Address,City,State,Country,ZipCode,DateOfBirth,Gender
1,Michael,Gamble,holly04@hotmail.com,+1-384-774-8116x1917,1934 Villarreal Fields Suite 786,Lake Jessica,Oklahoma,Germany,61029,1956-02-01,Male
2,Lauren,Romero,mmoreno@dunn.com,(057)460-0762x9847,6463 Theresa Overpass Suite 751,New Alyssa,Missouri,China,72967,1979-04-06,Male
3,Gail,Olson,sjohnson@mcguire.info,770.480.9804,242 Theresa Cliffs Suite 001,Dorseyshire,Vermont,Germany,41944,1975-04-17,Female
4,Joshua,Watson,maypamela@gmail.com,324-257-8605x045,61207 Brown Well,North Jonathanton,New Hampshire,United Kingdom,65582,1987-08-29,Male
5,Amy,Olson,dunnjoanne@hotmail.com,+1-130-220-6697x69296,5782 Kimberly Falls,Simmonsfort,Wisconsin,Spain,17375,1946-07-12,Male
6,Richard,Lewis,emily39@gmail.com,849-472-3706x226,8096 Katherine Stream,North Ethanland,Washington,Spain,4215,1993-04-09,Female
7,Alexander,Davis,oneillsheila@collins.net,001-958-855-9546x92944,5574 Waters Forges Suite 512,West Cynthia,Virginia,Japan,24155,1987-08-24,Male
8,Jessica,Shepard,znichols@hill.com,+1-550-611-6269x2892,4063 Taylor Coves Suite 803,Kellytown,Vermont,Canada,12416,1996-02-16,Female
9,Jennifer,Jackson,ryanarnold@cervantes.com,+1-225-587-5064,97330 Brittany Drive,Madisonberg,Indiana,France,64461,1957-04-12,Female
10,Jennifer,Meyers,muellerariana@yahoo.com,057-940-2050x1292,83151 Adams Junctions,New Amandahaven,New Jersey,Japan,79676,1972-06-22,Female
11,Jody,Oliver,noah63@hotmail.com,241.284.9200x41928,40308 Samantha Islands Suite 196,Joshuaview,New York,Spain,65646,1936-04-10,Male
12,Yolanda,Wilson,johnsonclifford@ramirez-garcia.info,367.893.1422,6581 Rachel Camp Suite 008,Port Elaine,Kentucky,Canada,57535,1997-07-05,Male
13,Kelly,Robinson,zweaver@gmail.com,1829411802,8957 Smith Bridge Apt. 498,Burnsfort,Alabama,United States,34864,1940-02-18,Male
14,Michael,Leonard,paulperez@scott.net,+1-559-728-6346,934 Gregory Ridge,Catherineborough,Rhode Island,Italy,88219,1941-05-20,Male
15,Allison,Little,kimberlywatts@merritt.com,567.549.1055x96254,83844 Joseph Island,North Amyshire,Missouri,China,29069,1985-07-25,Male
16,Nicholas,Castro,wclark@moss.com,(995)776-5371x4719,63177 David Branch,South Warrentown,Nebraska,Canada,77539,1937-03-23,Male
17,Keith,Johnson,camacholaura@allen.org,(574)125-9046,981 Linda Coves Apt. 903,Williamsfort,Hawaii,Japan,61868,1957-08-14,Female
18,Brendan,Walsh,hendersondebra@hotmail.com,127-400-2227x83290,7260 Mary Mission Apt. 138,New Stevenchester,Indiana,Italy,63917,1970-02-22,Female
19,James,Barker,dlee@gmail.com,777-466-4603x00076,357 Andrew Isle,North Claire,Texas,Italy,65592,1942-01-29,Male
